mid_date, v [m/yr], satellite, dt (days)
2021-03-27,3492, Sentinel 1,12
2020-07-10,3535, Sentinel 1,6
2018-03-25,3737, Sentinel 1,12
2017-01-26,3382, Sentinel 1,6
2022-05-04,4109, Sentinel 2,5
2016-05-02,3425, Sentinel 2,10
2019-08-05,3553, Sentinel 1,12
2021-10-23,3673, Sentinel 1,12
2019-06-12,3528, Sentinel 1,12
2018-06-29,3557, Sentinel 1,12
2021-10-16,4004, Sentinel 2,5
2019-05-25,3625, Sentinel 1,12
2019-11-19,3332, Sentinel 1,6
2019-02-28,3915, Sentinel 1,6
2021-02-16,3579, Sentinel 1,6
2018-12-28,3977, Sentinel 1,12
2019-01-07,4206, Sentinel 1,6
2020-12-20,3841, Sentinel 1,6
2021-09-13,4079, Sentinel 2,5
2016-09-06,3496, Sentinel 2,10
2018-10-21,3431, Sentinel 1,12
2020-07-28,3674, Sentinel 1,6
2021-08-06,3981, Sentinel 2,10
2019-10-22,3432, Sentinel 1,12
2020-06-30,3922, Sentinel 2,10
2021-07-25,4005, Sentinel 2,5
2016-03-06,3426, Sentinel 1,12
2019-07-28,3495, Sentinel 1,6
2016-01-06,3318, Sentinel 1,12
2016-07-28,3599, Sentinel 2,10
2017-07-17,3458, Sentinel 1,12
2020-06-15,3542, Sentinel 1,6
2019-12-18,3400, Sentinel 1,6
2018-01-05,3276, Sentinel 1,6
2020-08-12,3693, Sentinel 1,12
2018-12-26,3620, Sentinel 1,12
2017-01-07,3432, Sentinel 1,12
2020-01-05,3641, Sentinel 1,6
2021-09-10,4066, Sentinel 2,10
2016-02-01,3803, Sentinel 1,12
2022-04-07,3697, Sentinel 2,5
2020-04-11,3760, Sentinel 1,6
2020-07-13,4046, Sentinel 2,5
2018-02-17,3702, Sentinel 1,12
2016-04-18,3232, Sentinel 1,12
2017-08-09,3491, Sentinel 1,12
2021-11-06,3659, Sentinel 1,12
2022-10-18,3621, Sentinel 2,10
2018-01-31,3548, Sentinel 1,12
2018-08-19,3612, Sentinel 1,6
2021-01-13,3831, Sentinel 1,6
2017-10-03,3477, Sentinel 1,12
2021-09-14,3375, Sentinel 1,6
2021-05-24,3704, Sentinel 1,6
2018-12-31,3623, Sentinel 1,6
2021-10-18,3680, Sentinel 1,12
2016-04-04,3225, Sentinel 1,12
2019-08-15,3879, Sentinel 2,5
2018-01-26,3610, Sentinel 1,12
2021-05-12,3923, Sentinel 2,5
2020-02-17,3587, Sentinel 1,6
2020-01-10,3931, Sentinel 1,12
2018-02-02,3873, Sentinel 1,12
2020-01-18,3822, Sentinel 1,6
2020-07-20,4091, Sentinel 2,5
2018-08-07,3606, Sentinel 1,6
2022-09-26,3521, Sentinel 1,12
2018-08-30,4068, Sentinel 2,5
2021-05-23,3539, Sentinel 1,6
2019-07-04,3503, Sentinel 1,6
2020-06-24,3591, Sentinel 1,12
2021-01-11,3866, Sentinel 1,12
2020-01-07,3631, Sentinel 1,6
2019-12-31,3326, Sentinel 1,6
2017-10-24,3934, Sentinel 1,6
2021-10-16,3970, Sentinel 2,10
2022-08-26,3545, Sentinel 1,12
2022-08-22,3859, Sentinel 2,5
2015-09-20,3508, Sentinel 1,12
2019-06-16,3482, Sentinel 1,6
2017-10-06,3482, Sentinel 1,6
2020-12-13,3705, Sentinel 1,6
2019-07-06,3404, Sentinel 1,12
2019-03-12,3610, Sentinel 1,6
2021-09-30,3635, Sentinel 1,12
2018-01-19,3634, Sentinel 1,12
2021-05-05,3599, Sentinel 1,6
2020-12-15,3566, Sentinel 1,12
2018-05-28,3838, Sentinel 1,6
2018-05-16,3466, Sentinel 1,6
2019-06-21,3362, Sentinel 1,6
2020-03-05,3564, Sentinel 1,6
2020-06-16,3772, Sentinel 1,6
2019-06-22,3550, Sentinel 1,6
2020-01-06,3677, Sentinel 1,6
2018-10-07,3424, Sentinel 1,6
2021-08-09,3693, Sentinel 1,6
2018-12-19,3851, Sentinel 1,6
2016-11-22,3147, Sentinel 1,6
2017-08-07,3365, Sentinel 1,6
2021-07-23,3941, Sentinel 2,5
2019-12-28,3488, Sentinel 1,12
2017-07-10,3505, Sentinel 1,12
2021-01-24,3615, Sentinel 1,6
2020-08-09,3942, Sentinel 2,10
2021-08-04,4046, Sentinel 2,5
2021-06-01,3682, Sentinel 1,12
2020-07-17,3994, Sentinel 2,10
2019-01-08,3710, Sentinel 1,12
2020-04-13,3549, Sentinel 1,12
2019-06-03,3838, Sentinel 2,10
2021-07-18,4050, Sentinel 2,5
2017-10-21,3783, Sentinel 1,12
2021-04-17,3428, Sentinel 1,6
2021-10-13,3769, Sentinel 1,12
2019-03-08,3525, Sentinel 1,12
2016-12-31,3331, Sentinel 1,12
2018-08-05,3721, Sentinel 1,12
2019-01-21,4001, Sentinel 1,12
2018-09-27,3512, Sentinel 1,12
2017-01-16,3054, Sentinel 1,6
2020-06-21,3601, Sentinel 1,6
2017-01-14,3132, Sentinel 1,6
2019-06-03,3455, Sentinel 1,6
2021-09-06,3696, Sentinel 1,12
2017-12-22,3658, Sentinel 1,6
2021-08-03,3585, Sentinel 1,6
2020-12-12,3975, Sentinel 1,12
2021-10-25,3731, Sentinel 1,12
2017-06-23,3839, Sentinel 2,10
2020-11-10,3626, Sentinel 1,12
2022-03-12,3993, Sentinel 2,10
2022-09-19,3590, Sentinel 1,12
2018-07-04,3859, Sentinel 2,10
2019-01-18,3659, Sentinel 1,6
2018-06-05,3878, Sentinel 1,12
2021-07-12,3802, Sentinel 2,10
2020-06-10,3685, Sentinel 1,6
2020-05-22,3665, Sentinel 1,6
2021-05-17,3549, Sentinel 1,6
2022-05-08,3973, Sentinel 2,10
2022-04-28,3698, Sentinel 1,12
2018-09-06,3849, Sentinel 1,6
2019-07-15,3386, Sentinel 1,6
2022-06-03,4091, Sentinel 2,5
2018-06-06,3670, Sentinel 1,12
2017-06-14,3564, Sentinel 1,6
2017-01-14,3656, Sentinel 1,12
2019-06-24,3430, Sentinel 1,12
2018-12-24,3499, Sentinel 1,6
2021-11-10,3525, Sentinel 1,12
2020-10-25,3509, Sentinel 1,6
2021-01-23,3347, Sentinel 1,6
2019-02-27,3951, Sentinel 1,6
2021-08-01,3984, Sentinel 2,10
2019-10-29,3521, Sentinel 1,12
2018-05-27,3583, Sentinel 1,6
2022-11-18,3399, Sentinel 1,12
2018-04-12,3450, Sentinel 1,12
2021-07-02,3533, Sentinel 1,12
2019-08-23,3311, Sentinel 1,12
2016-11-28,3363, Sentinel 1,6
2019-05-16,3658, Sentinel 1,6
2017-08-06,3537, Sentinel 1,6
2021-12-10,3569, Sentinel 1,12
2017-06-13,3858, Sentinel 2,10
2016-02-04,3398, Sentinel 1,12
2019-02-04,3639, Sentinel 1,6
2019-10-16,3373, Sentinel 1,12
2021-07-28,4091, Sentinel 2,5
2020-12-10,3682, Sentinel 1,12
2021-01-15,3677, Sentinel 1,12
2018-11-05,3968, Sentinel 1,6
2018-11-24,3547, Sentinel 1,6
2016-06-05,3515, Sentinel 1,12
2020-11-18,3594, Sentinel 1,6
2016-08-14,3303, Sentinel 1,12
2019-06-13,3890, Sentinel 2,10
2018-03-13,3637, Sentinel 1,12
2021-04-26,3852, Sentinel 2,10
2020-08-04,4096, Sentinel 2,5
2018-08-28,3599, Sentinel 1,12
2019-01-25,3587, Sentinel 1,12
2021-01-02,3848, Sentinel 1,6
2018-02-27,3666, Sentinel 1,6
2017-11-14,3552, Sentinel 1,12
2015-02-04,3879, Sentinel 1,12
2017-06-17,3518, Sentinel 1,12
2017-09-06,3398, Sentinel 1,6
2020-05-01,3478, Sentinel 1,12
2020-10-17,3567, Sentinel 1,12
2020-06-20,3869, Sentinel 2,10
2018-03-23,3567, Sentinel 1,6
2017-04-11,3311, Sentinel 1,12
2019-04-16,3677, Sentinel 1,6
2021-09-26,4154, Sentinel 2,5
2017-02-17,3554, Sentinel 1,12
2018-01-10,3731, Sentinel 1,6
2016-10-23,3561, Sentinel 1,6
2017-01-08,3149, Sentinel 1,6
2021-12-24,4169, Sentinel 1,12
2019-04-22,3446, Sentinel 1,6
2017-09-21,3403, Sentinel 1,12
2022-12-12,3301, Sentinel 1,12
2020-12-15,4312, Sentinel 1,6
2018-07-24,3661, Sentinel 1,12
2020-12-24,4021, Sentinel 1,12
2022-08-06,3816, Sentinel 2,10
2021-09-29,4017, Sentinel 2,5
2019-05-23,3555, Sentinel 1,6
2020-04-28,3691, Sentinel 1,6
2019-07-10,3543, Sentinel 1,6
2019-10-02,3600, Sentinel 1,6
2020-09-25,3724, Sentinel 1,6
2018-01-12,4042, Sentinel 1,6
2021-06-13,3798, Sentinel 2,5
2022-05-29,3817, Sentinel 2,5
2021-04-15,3567, Sentinel 1,12
2021-06-19,3515, Sentinel 1,12
2022-04-11,4081, Sentinel 2,5
2022-07-30,3755, Sentinel 2,5
2019-11-01,3589, Sentinel 2,5
2018-01-16,3752, Sentinel 1,6
2017-02-08,2991, Sentinel 1,6
2022-05-12,3866, Sentinel 2,5
2021-07-25,3564, Sentinel 1,12
2017-08-31,3409, Sentinel 1,6
2022-10-14,3813, Sentinel 2,5
2021-12-07,3505, Sentinel 1,6
2017-01-11,3537, Sentinel 1,6
2020-01-01,3950, Sentinel 1,6
2017-10-19,3902, Sentinel 2,10
2019-01-04,4148, Sentinel 1,12
2019-11-10,3383, Sentinel 1,12
2020-02-04,3597, Sentinel 1,6
2017-06-28,3422, Sentinel 1,12
2022-05-27,3743, Sentinel 1,12
2021-03-19,3762, Sentinel 1,6
2018-10-30,3434, Sentinel 1,6
2017-07-06,3765, Sentinel 2,10
2015-02-06,4141, Sentinel 1,12
2018-01-22,3414, Sentinel 1,6
2017-08-11,3681, Sentinel 2,5
2017-09-05,3274, Sentinel 1,6
2022-05-06,3984, Sentinel 2,5
2021-08-14,3932, Sentinel 1,12
2019-01-13,3931, Sentinel 1,6
2017-11-16,3550, Sentinel 1,6
2018-04-27,3643, Sentinel 1,6
2018-06-21,3618, Sentinel 1,6
2022-05-07,3799, Sentinel 2,5
2020-11-12,3571, Sentinel 1,6
2022-03-28,3663, Sentinel 1,12
2021-05-20,3504, Sentinel 1,12
2019-01-24,3600, Sentinel 1,6
2022-09-08,3818, Sentinel 2,10
2018-03-22,4152, Sentinel 1,6
2020-01-17,4048, Sentinel 1,12
2017-02-22,3314, Sentinel 1,12
2019-10-14,3429, Sentinel 1,6
2016-05-24,3553, Sentinel 1,12
2018-10-28,3846, Sentinel 1,12
2020-10-07,3502, Sentinel 1,6
2017-11-25,3373, Sentinel 1,12
2018-11-09,3679, Sentinel 1,12
2021-05-30,3699, Sentinel 1,6
2020-07-07,3588, Sentinel 1,12
2021-12-14,3724, Sentinel 1,6
2022-07-25,3943, Sentinel 2,5
2017-03-19,3400, Sentinel 1,12
2021-04-08,3879, Sentinel 2,10
2022-09-04,3854, Sentinel 2,5
2019-07-21,3820, Sentinel 2,5
2019-11-08,3842, Sentinel 2,10
2020-03-29,3725, Sentinel 1,6
2017-09-29,3395, Sentinel 1,6
2018-03-31,3542, Sentinel 1,12
2019-04-29,4182, Sentinel 1,6
2021-01-12,3744, Sentinel 1,6
2021-07-14,3649, Sentinel 1,12
2019-12-20,3782, Sentinel 1,6
2020-08-21,3657, Sentinel 1,6
2019-10-28,3439, Sentinel 1,12
2019-07-13,3453, Sentinel 1,12
2018-12-23,3784, Sentinel 1,6
2022-01-15,3442, Sentinel 1,12
2019-03-23,3757, Sentinel 1,6
2022-01-24,3918, Sentinel 1,12
2021-06-28,3443, Sentinel 1,6
2018-07-12,3696, Sentinel 1,12
2020-04-22,3626, Sentinel 1,6
2021-06-22,3702, Sentinel 1,6
2021-08-13,3838, Sentinel 1,12
2017-02-10,3412, Sentinel 1,12
2022-10-11,3935, Sentinel 2,5
2018-06-18,3682, Sentinel 1,12
2018-01-02,3961, Sentinel 1,12
2017-05-24,3599, Sentinel 1,12
2019-08-30,3735, Sentinel 2,5
2020-09-19,3602, Sentinel 1,6
2019-03-27,3557, Sentinel 1,12
2020-06-19,3662, Sentinel 1,12
2018-05-21,3667, Sentinel 1,6
2020-05-19,3687, Sentinel 1,12
2018-09-07,3849, Sentinel 1,6
2020-12-03,3511, Sentinel 1,12
2021-02-10,3536, Sentinel 1,6
2019-10-23,3615, Sentinel 1,12
2019-11-04,3346, Sentinel 1,12
2017-07-02,3609, Sentinel 1,6
2021-03-25,3487, Sentinel 1,6
2021-08-04,3694, Sentinel 1,6
2016-07-28,3321, Sentinel 1,12
2017-12-26,3622, Sentinel 1,12
2021-04-29,3337, Sentinel 1,6
2020-01-07,3878, Sentinel 1,6
2019-09-28,3157, Sentinel 1,12
2022-10-03,3662, Sentinel 2,10
2022-10-28,3641, Sentinel 2,10
2017-06-16,3488, Sentinel 1,12
2022-08-17,3536, Sentinel 2,10
2018-02-01,4056, Sentinel 1,12
2018-01-20,3922, Sentinel 1,12
2021-07-28,3461, Sentinel 1,6
2021-10-03,3522, Sentinel 1,6
2020-11-09,3504, Sentinel 1,12
2022-07-27,3818, Sentinel 2,10
2020-04-16,3487, Sentinel 1,6
2020-08-26,3683, Sentinel 1,6
2018-08-20,3686, Sentinel 1,6
