gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
214,462600,-2506850,-34.5414886995569,66.7776819275038,6,122,CE,K.J.V. Steenstrup Nordre Br,UNNAMED_LAUBE_S,33,217,11025
219,474066,-2508566,-34.296371595862,66.7451522334787,10,122,CE,K.J.V. Steenstrup Nordre Br,UNNAMED_LAUBE_S,33,217,591
220,461130,-2530807,-34.6736006440623,66.5708186764888,32,96,CE,K.J.V. Steenstrup Nordre Br,KIV_STEENSTRUP_NODRE_BRAE,41,164,4255
221,456700,-2540633,-34.8086963605182,66.4922571679811,11,236,CE,K.J.V. Steenstrup Nordre Br,KIV_STEENSTRUP_SONDRE_BRAE,41,166,6258
222,439828,-2547300,-35.2011309641648,66.4604778060941,10,259,SE,K.J.V. Steenstrup Nordre Br,NIGERTULUUP_KATTILERTARPIA,41,168,9775
223,402100,-2552460,-36.046828606762,66.4695748939636,12,257,SE,Champs Elysees Gletsjer,GLACIERDEFRANCE,41,169,6047
224,369466,-2552200,-36.7616999407688,66.5145174862428,18,94,SE,Franche Comt Gletsjer,MIDGARDGLETSCHER,41,173,6999
225,376700,-2564500,-36.6428244462184,66.3982904523505,3,94,SE,Nigertiip Apusiia,MIDGARDGLETSCHER,41,173,7293
226,333800,-2570000,-37.5971383827984,66.4011209890963,18,93,SE,Apuseerajik,FENRISGLETSCHER,41,174,4931
227,304157,-2576528,-38.2680878986995,66.3773177878685,36,63,SE,Helheim Gletsjer,HELHEIMGLETSCHER,41,175,3604
229,296530,-2618223,-38.5388043687859,66.0172899179273,35,199,SE,Kangertsivala Apusiia,HEIM_GLETSCHER,41,175,42202
230,298000,-2630050,-38.5331395521876,65.9119380272442,9,200,SE,Kangertivala Apusiiala Qeqqarterpaartaa,BRCKNER_GLETSCHER,41,175,53418
231,263160,-2647420,-39.3244140147294,65.7916196777631,49,186,SE,Bussemandgletsjer,NONAME_IKERTIVAQ_N,42,176,18786
232,245054,-2659911,-39.7349772714652,65.6976428779262,94,64,SE,Bussemandgletsjer,IKERTIVAQ_NN,42,176,4000
233,228216,-2677148,-40.1254347565305,65.5593315021266,181,212,SE,Apuseeq,IKERTIVAQ_M,42,180,5395
234,234200,-2696300,-40.0334110219934,65.3858064858499,3,188,SE,Apuseeq,NONAME_IKERTIVAQ_S,42,218,3223
237,231144,-2711477,-40.1282549724851,65.2545272386493,26,88,SE,Apuseeq,SE_NONAME1,42,218,15197
238,203922,-2715831,-40.7063359672488,65.2349927307482,68,68,SE,Apuseeq,KOGE_BUGT_N,42,181,3431
239,184648,-2721853,-41.1179200482987,65.1942521162718,105,106,SE,Apuseeq,KOGE_BUGT_C,42,182,3311
240,178833,-2735433,-41.258129642946,65.0779306462679,26,189,SE,Apuseeq,KOGE_BUGT_S,42,183,9673
245,179764,-2742868,-41.2515579209433,65.0123436991123,52,189,SE,Apuseeq,KOGE_BUGT_S,42,183,2509
246,179581,-2753445,-41.2700965236516,64.9191967855368,16,189,SE,Apuseeq,KOGE_BUGT_S,42,183,8882
248,184400,-2761075,-41.1770205859414,64.8494509189968,10,67,SE,Apuseeq,KOGE_BUGT_SS,42,184,5454
251,187240,-2763260,-41.1222551201111,64.8284497218643,15,67,SE,Apuseeq,KOGE_BUGT_SS,42,184,4623
252,188400,-2766250,-41.1017061829317,64.8013574756125,13,67,SE,Apuseerserpia,KOGE_BUGT_SS,42,184,7093
253,198000,-2773825,-40.9150048716658,64.7286742511194,12,190,SE,Puisertoq,UMIIVIK_FJORD,42,185,4491
254,199100,-2775500,-40.8968122380629,64.7139870928449,3,190,SE,Puisertoq,UMIIVIK_FJORD,42,185,4535
256,-236900,-2778000,-49.8748523077891,64.6650828034924,20,14,SW,Narsap Sermia,NARSAP_SERMIA,62,209,7372
257,203666,-2779166,-40.8077603409527,64.6794309037175,14,190,SE,Puisertoq,UMIIVIK_FJORD,42,219,3266
258,208500,-2796100,-40.7353305967759,64.527037102646,25,190,SE,Puisertoq,UMIIVIK_FJORD,42,186,4563
260,206100,-2803340,-40.7950382222678,64.4653990801738,14,190,SE,Puisertoq,UMIIVIK_FJORD,42,186,6880
