mid_date, v [m/yr], satellite, dt (days)
2019-06-21,6064, Sentinel 1,6
2020-03-05,6032, Sentinel 1,6
2020-06-16,6430, Sentinel 1,6
2019-06-22,5802, Sentinel 1,6
2020-01-06,6177, Sentinel 1,6
2018-10-07,6204, Sentinel 1,6
2021-08-09,6293, Sentinel 1,6
2018-12-19,6318, Sentinel 1,6
2016-11-22,5518, Sentinel 1,6
2017-08-07,6136, Sentinel 1,6
2021-07-23,6347, Sentinel 2,5
2017-07-10,5965, Sentinel 1,12
2021-01-24,6238, Sentinel 1,6
2020-08-09,6463, Sentinel 2,10
2021-08-04,6506, Sentinel 2,5
2021-06-01,6095, Sentinel 1,12
2020-07-17,6417, Sentinel 2,10
2019-06-03,5959, Sentinel 2,10
2021-07-18,6504, Sentinel 2,5
2017-10-21,6263, Sentinel 1,12
2021-04-17,5849, Sentinel 1,6
2021-10-13,6327, Sentinel 1,12
2018-08-05,6363, Sentinel 1,12
2018-09-27,6087, Sentinel 1,12
2017-01-16,5684, Sentinel 1,6
2020-06-21,6152, Sentinel 1,6
2017-01-14,5137, Sentinel 1,6
2019-06-03,5871, Sentinel 1,6
2021-09-06,6207, Sentinel 1,12
2017-12-22,6430, Sentinel 1,6
2021-08-03,6414, Sentinel 1,6
2017-06-23,6123, Sentinel 2,10
2020-11-10,6089, Sentinel 1,12
2022-03-12,6430, Sentinel 2,10
2022-09-19,5950, Sentinel 1,12
2018-07-04,6309, Sentinel 2,10
2019-01-18,6428, Sentinel 1,6
2018-06-05,6268, Sentinel 1,12
2021-07-12,6219, Sentinel 2,10
2020-06-10,6089, Sentinel 1,6
2020-05-22,6342, Sentinel 1,6
2021-05-17,5969, Sentinel 1,6
2022-05-08,6358, Sentinel 2,10
2018-09-06,6674, Sentinel 1,6
2019-07-15,5845, Sentinel 1,6
2022-06-03,6364, Sentinel 2,5
2018-06-06,6269, Sentinel 1,12
2017-06-14,5860, Sentinel 1,6
2019-06-24,5829, Sentinel 1,12
2018-12-24,6079, Sentinel 1,6
2022-07-05,6075, Sentinel 2,5
2020-10-25,5978, Sentinel 1,6
2021-08-01,6444, Sentinel 2,10
2018-05-27,6254, Sentinel 1,6
2022-11-18,5465, Sentinel 1,12
2021-07-02,6111, Sentinel 1,12
2019-08-23,5747, Sentinel 1,12
2016-11-28,5175, Sentinel 1,6
2019-05-16,6053, Sentinel 1,6
2017-08-06,6087, Sentinel 1,6
2017-06-13,6070, Sentinel 2,10
2019-02-04,6025, Sentinel 1,6
2019-10-16,5552, Sentinel 1,12
2021-07-28,6522, Sentinel 2,5
2018-11-05,7008, Sentinel 1,6
2018-11-24,6321, Sentinel 1,6
2016-06-05,5120, Sentinel 1,12
2020-11-18,5892, Sentinel 1,6
2016-08-14,5428, Sentinel 1,12
2019-06-13,6013, Sentinel 2,10
2021-04-26,6204, Sentinel 2,10
2020-08-04,6534, Sentinel 2,5
2018-08-28,6294, Sentinel 1,12
2021-01-02,6129, Sentinel 1,6
2018-02-27,5844, Sentinel 1,6
2017-06-17,5959, Sentinel 1,12
2017-09-06,5899, Sentinel 1,6
2020-05-01,6147, Sentinel 1,12
2020-06-20,6306, Sentinel 2,10
2018-03-23,6000, Sentinel 1,6
2019-04-16,5994, Sentinel 1,6
2021-09-26,6616, Sentinel 2,5
2018-01-10,6614, Sentinel 1,6
2016-10-23,4991, Sentinel 1,6
2017-01-08,5522, Sentinel 1,6
2019-04-22,6105, Sentinel 1,6
2017-09-21,6036, Sentinel 1,12
2022-12-12,5037, Sentinel 1,12
2020-12-15,5694, Sentinel 1,6
2018-07-24,6395, Sentinel 1,12
2020-12-24,5877, Sentinel 1,12
2022-08-06,6152, Sentinel 2,10
2021-09-29,6469, Sentinel 2,5
2019-05-23,6139, Sentinel 1,6
2020-04-28,6015, Sentinel 1,6
2019-07-10,5747, Sentinel 1,6
2019-10-02,5957, Sentinel 1,6
2020-09-25,6398, Sentinel 1,6
2018-01-12,6653, Sentinel 1,6
2021-06-13,6095, Sentinel 2,5
2022-05-29,6132, Sentinel 2,5
2021-06-19,6015, Sentinel 1,12
2022-04-11,6436, Sentinel 2,5
2022-07-30,6151, Sentinel 2,5
2019-11-01,5817, Sentinel 2,5
2018-01-16,6362, Sentinel 1,6
2022-05-12,6274, Sentinel 2,5
2021-07-25,6186, Sentinel 1,12
2017-08-31,6189, Sentinel 1,6
2022-10-14,5701, Sentinel 2,5
2021-12-07,6307, Sentinel 1,6
2017-01-11,5330, Sentinel 1,6
2020-01-01,6276, Sentinel 1,6
2017-10-19,6296, Sentinel 2,10
2017-06-28,6006, Sentinel 1,12
2022-05-27,6149, Sentinel 1,12
2021-03-19,6028, Sentinel 1,6
2018-10-30,6144, Sentinel 1,6
2017-07-06,5994, Sentinel 2,10
2018-01-22,6293, Sentinel 1,6
2017-08-11,6019, Sentinel 2,5
2017-09-05,5894, Sentinel 1,6
